09:27:45.402 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [fr.service.saccr.export.ServiceSaccrExportApplicationTests], using SpringBootContextLoader
09:27:45.410 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [fr.service.saccr.export.ServiceSaccrExportApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
09:27:45.411 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [fr.service.saccr.export.ServiceSaccrExportApplicationTests]: ServiceSaccrExportApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
09:27:45.546 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration fr.service.saccr.export.ServiceSaccrExportApplication for test class fr.service.saccr.export.ServiceSaccrExportApplicationTests
09:27:45.669 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
09:27:45.694 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@fd0e5b6, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4eed46ee, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@36b0fcd5, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4fad94a7, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@475835b1, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6326d182, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5241cf67, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@716a7124, org.springframework.test.context.event.EventPublishingTestExecutionListener@77192705, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@226642a5, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7e809b79, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5cc126dc, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@625e134e, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@72bd06ca, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@89c10b7]
09:27:46.090 [main] INFO  f.s.s.e.ServiceSaccrExportApplicationTests - Starting ServiceSaccrExportApplicationTests using Java 11.0.10 on WCZFK250014-ZU2 with PID 28180 (started by fk250014 in C:\Users\fk250014\SpringWorkspace\ServiceSaccrExport)
09:27:46.091 [main] INFO  f.s.s.e.ServiceSaccrExportApplicationTests - The following profiles are active: dev
09:27:46.105 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final
09:27:47.795 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
09:27:48.204 [main] INFO  f.s.s.e.ServiceSaccrExportApplicationTests - Started ServiceSaccrExportApplicationTests in 2.446 seconds (JVM running for 3.964)
09:27:48.759 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
14:10:19.215 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [fr.service.saccr.export.ServiceSaccrExportApplicationTests], using SpringBootContextLoader
14:10:19.222 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [fr.service.saccr.export.ServiceSaccrExportApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
14:10:19.223 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [fr.service.saccr.export.ServiceSaccrExportApplicationTests]: ServiceSaccrExportApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
14:10:19.362 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration fr.service.saccr.export.ServiceSaccrExportApplication for test class fr.service.saccr.export.ServiceSaccrExportApplicationTests
14:10:19.482 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
14:10:19.505 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@fd0e5b6, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4eed46ee, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@36b0fcd5, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4fad94a7, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@475835b1, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6326d182, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5241cf67, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@716a7124, org.springframework.test.context.event.EventPublishingTestExecutionListener@77192705, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@226642a5, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7e809b79, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5cc126dc, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@625e134e, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@72bd06ca, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@89c10b7]
14:10:19.888 [main] INFO  f.s.s.e.ServiceSaccrExportApplicationTests - Starting ServiceSaccrExportApplicationTests using Java 11.0.10 on WCZFK250014-ZU2 with PID 15052 (started by fk250014 in C:\Users\fk250014\SpringWorkspace\ServiceSaccrExport)
14:10:19.889 [main] INFO  f.s.s.e.ServiceSaccrExportApplicationTests - The following profiles are active: dev
14:10:19.897 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final
14:10:21.609 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
14:10:22.023 [main] INFO  f.s.s.e.ServiceSaccrExportApplicationTests - Started ServiceSaccrExportApplicationTests in 2.452 seconds (JVM running for 3.702)
14:10:22.469 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
